id;placed_date;status;code;customer_id
1;2022-04-14T02:55:20;COMPLETED;Electronics;1
2;2022-04-13T21:17:19;COMPLETED;payment PCI violet;2
3;2022-04-14T07:46:12;CANCELLED;background out-of-the-box withdrawal;2
4;2022-04-13T11:49:13;COMPLETED;Music real-time;2
5;2022-04-13T19:53:22;CANCELLED;Hat;1
6;2022-04-14T08:38:10;PENDING;solid navigating;1
7;2022-04-13T18:33:56;PENDING;Toys maroon;1
8;2022-04-14T07:23:30;COMPLETED;Developer;1
9;2022-04-13T14:51:54;COMPLETED;Credit Soft Cotton;1
10;2022-04-14T05:34:30;CANCELLED;contingency Bedfordshire;2
