id;code;date;details;status;payment_method;payment_date;payment_amount;product_order_id
1;Texas Focused;2022-04-14T03:23:04;Loop;CANCELLED;PAYPAL;2022-04-13T21:43:29;22604;21030
2;connect invoice Soft;2022-04-13T16:43:36;Unbranded SDR Consultant;ISSUED;CREDIT_CARD;2022-04-14T04:06:17;77772;59283
3;Central Soap;2022-04-14T09:12:17;Baby;PAID;PAYPAL;2022-04-13T17:25:38;24198;87472
4;parse intuitive Division;2022-04-13T18:16:46;back-end synergy transmitting;CANCELLED;CASH_ON_DELIVERY;2022-04-13T16:41:56;98367;35535
5;open;2022-04-13T18:20:54;Dynamic iterate;PAID;CREDIT_CARD;2022-04-13T14:37:42;6085;99574
6;black Maine;2022-04-14T05:30:59;RAM;ISSUED;PAYPAL;2022-04-14T10:32:51;32458;45702
7;Buckinghamshire Internal auxiliary;2022-04-13T14:07:48;analyzer Agent;CANCELLED;CREDIT_CARD;2022-04-13T22:13:55;39958;66616
8;auxiliary;2022-04-13T13:39:21;bypassing transitional Toys;ISSUED;CASH_ON_DELIVERY;2022-04-13T16:38:29;5093;2706
9;compelling Account;2022-04-14T02:40:02;unleash;CANCELLED;CREDIT_CARD;2022-04-14T08:33:35;70805;58730
10;Soap;2022-04-14T00:53:16;Arizona Fresh;ISSUED;PAYPAL;2022-04-14T07:52:27;58055;76516
